date,item_name,quantity,revenue
2025-08-09,Cheeseburger,153,1453.50
2025-08-09,Chicken Sandwich,100,1000.00
2025-08-09,Veggie Burger,28,252.00
2025-08-09,Fries,252,1008.00
2025-08-09,Wings,124,1364.00
2025-08-09,Caesar Salad,34,289.00
2025-08-09,Milkshake,84,462.00
2025-08-09,Soda,248,620.00
2025-08-10,Cheeseburger,111,1054.50
2025-08-10,Chicken Sandwich,76,760.00
2025-08-10,Veggie Burger,21,189.00
2025-08-10,Fries,194,776.00
2025-08-10,Wings,100,1100.00
2025-08-10,Caesar Salad,31,263.50
2025-08-10,Milkshake,54,297.00
2025-08-10,Soda,165,412.50
2025-08-11,Cheeseburger,68,646.00
2025-08-11,Chicken Sandwich,53,530.00
2025-08-11,Veggie Burger,15,135.00
2025-08-11,Fries,106,424.00
2025-08-11,Wings,53,583.00
2025-08-11,Caesar Salad,21,178.50
2025-08-11,Milkshake,32,176.00
2025-08-11,Soda,132,330.00
2025-08-12,Cheeseburger,78,741.00
2025-08-12,Chicken Sandwich,47,470.00
2025-08-12,Veggie Burger,17,153.00
2025-08-12,Fries,118,472.00
2025-08-12,Wings,58,638.00
2025-08-12,Caesar Salad,23,195.50
2025-08-12,Milkshake,38,209.00
2025-08-12,Soda,108,270.00
2025-08-13,Cheeseburger,51,484.50
2025-08-13,Chicken Sandwich,48,480.00
2025-08-13,Veggie Burger,15,135.00
2025-08-13,Fries,134,536.00
2025-08-13,Wings,60,660.00
2025-08-13,Caesar Salad,24,204.00
2025-08-13,Milkshake,41,225.50
2025-08-13,Soda,123,307.50
2025-08-14,Cheeseburger,82,779.00
2025-08-14,Chicken Sandwich,55,550.00
2025-08-14,Veggie Burger,19,171.00
2025-08-14,Fries,148,592.00
2025-08-14,Wings,67,737.00
2025-08-14,Caesar Salad,32,272.00
2025-08-14,Milkshake,45,247.50
2025-08-14,Soda,165,412.50
2025-08-15,Cheeseburger,130,1235.00
2025-08-15,Chicken Sandwich,85,850.00
2025-08-15,Veggie Burger,24,216.00
2025-08-15,Fries,222,888.00
2025-08-15,Wings,110,1210.00
2025-08-15,Caesar Salad,48,408.00
2025-08-15,Milkshake,66,363.00
2025-08-15,Soda,201,502.50
2025-08-16,Cheeseburger,170,1615.00
2025-08-16,Chicken Sandwich,120,1200.00
2025-08-16,Veggie Burger,30,270.00
2025-08-16,Fries,256,1024.00
2025-08-16,Wings,148,1628.00
2025-08-16,Caesar Salad,42,357.00
2025-08-16,Milkshake,67,368.50
2025-08-16,Soda,241,602.50
2025-08-17,Cheeseburger,127,1206.50
2025-08-17,Chicken Sandwich,62,620.00
2025-08-17,Veggie Burger,21,189.00
2025-08-17,Fries,176,704.00
2025-08-17,Wings,89,979.00
2025-08-17,Caesar Salad,34,289.00
2025-08-17,Milkshake,64,352.00
2025-08-17,Soda,241,602.50
2025-08-18,Cheeseburger,72,684.00
2025-08-18,Chicken Sandwich,42,420.00
2025-08-18,Veggie Burger,14,126.00
2025-08-18,Fries,97,388.00
2025-08-18,Wings,56,616.00
2025-08-18,Caesar Salad,23,195.50
2025-08-18,Milkshake,33,181.50
2025-08-18,Soda,136,340.00
2025-08-19,Cheeseburger,65,617.50
2025-08-19,Chicken Sandwich,47,470.00
2025-08-19,Veggie Burger,12,108.00
2025-08-19,Fries,100,400.00
2025-08-19,Wings,49,539.00
2025-08-19,Caesar Salad,28,238.00
2025-08-19,Milkshake,40,220.00
2025-08-19,Soda,132,330.00
2025-08-20,Cheeseburger,77,731.50
2025-08-20,Chicken Sandwich,53,530.00
2025-08-20,Veggie Burger,19,171.00
2025-08-20,Fries,135,540.00
2025-08-20,Wings,58,638.00
2025-08-20,Caesar Salad,25,212.50
2025-08-20,Milkshake,42,231.00
2025-08-20,Soda,147,367.50
2025-08-21,Cheeseburger,96,912.00
2025-08-21,Chicken Sandwich,57,570.00
2025-08-21,Veggie Burger,23,207.00
2025-08-21,Fries,130,520.00
2025-08-21,Wings,75,825.00
2025-08-21,Caesar Salad,32,272.00
2025-08-21,Milkshake,39,214.50
2025-08-21,Soda,135,337.50
2025-08-22,Cheeseburger,138,1311.00
2025-08-22,Chicken Sandwich,109,1090.00
2025-08-22,Veggie Burger,28,252.00
2025-08-22,Fries,228,912.00
2025-08-22,Wings,82,902.00
2025-08-22,Caesar Salad,41,348.50
2025-08-22,Milkshake,78,429.00
2025-08-22,Soda,217,542.50
2025-08-23,Cheeseburger,145,1377.50
2025-08-23,Chicken Sandwich,103,1030.00
2025-08-23,Veggie Burger,34,306.00
2025-08-23,Fries,204,816.00
2025-08-23,Wings,120,1320.00
2025-08-23,Caesar Salad,49,416.50
2025-08-23,Milkshake,77,423.50
2025-08-23,Soda,247,617.50
2025-08-24,Cheeseburger,116,1102.00
2025-08-24,Chicken Sandwich,65,650.00
2025-08-24,Veggie Burger,21,189.00
2025-08-24,Fries,147,588.00
2025-08-24,Wings,103,1133.00
2025-08-24,Caesar Salad,31,263.50
2025-08-24,Milkshake,76,418.00
2025-08-24,Soda,196,490.00
2025-08-25,Cheeseburger,78,741.00
2025-08-25,Chicken Sandwich,39,390.00
2025-08-25,Veggie Burger,15,135.00
2025-08-25,Fries,113,452.00
2025-08-25,Wings,61,671.00
2025-08-25,Caesar Salad,20,170.00
2025-08-25,Milkshake,37,203.50
2025-08-25,Soda,134,335.00
2025-08-26,Cheeseburger,84,798.00
2025-08-26,Chicken Sandwich,53,530.00
2025-08-26,Veggie Burger,16,144.00
2025-08-26,Fries,108,432.00
2025-08-26,Wings,45,495.00
2025-08-26,Caesar Salad,27,229.50
2025-08-26,Milkshake,35,192.50
2025-08-26,Soda,166,415.00
2025-08-27,Cheeseburger,70,665.00
2025-08-27,Chicken Sandwich,54,540.00
2025-08-27,Veggie Burger,14,126.00
2025-08-27,Fries,117,468.00
2025-08-27,Wings,58,638.00
2025-08-27,Caesar Salad,31,263.50
2025-08-27,Milkshake,44,242.00
2025-08-27,Soda,141,352.50
2025-08-28,Cheeseburger,73,693.50
2025-08-28,Chicken Sandwich,61,610.00
2025-08-28,Veggie Burger,20,180.00
2025-08-28,Fries,144,576.00
2025-08-28,Wings,58,638.00
2025-08-28,Caesar Salad,36,306.00
2025-08-28,Milkshake,42,231.00
